id,event_id,down_time,up_time,action_time,activity,down_event,up_event,text_change,cursor_position,word_count
001519c8,49,114688,114847,159,Input,q,q,q,42,9
001519c8,50,114824,114959,135,Input,q,q,q,43,9
001519c8,51,114911,115035,124,Input,Space,Space, ,44,9
001519c8,52,115893,116053,160,Input,q,q,q,45,10
001519c8,53,116019,116121,102,Input,q,q,q,46,10
001519c8,54,116170,116316,146,Input,q,q,q,47,10
001519c8,55,116302,116411,109,Input,q,q,q,48,10
001519c8,56,116431,116567,136,Input,q,q,q,49,10
001519c8,57,116573,116701,128,Input,Space,Space, ,50,10
001519c8,58,116709,116873,164,Input,q,q,q,51,11
001519c8,59,116793,116939,146,Input,q,q,q,52,11
001519c8,60,116862,117000,138,Input,Space,Space, ,53,11
001519c8,61,117296,117437,141,Input,q,q,q,54,12
001519c8,62,117411,117542,131,Input,q,q,q,55,12
001519c8,63,117763,117887,124,Input,q,q,q,56,12
001519c8,64,117880,117953,73,Input,q,q,q,57,12
001519c8,65,118000,118127,127,Input,q,q,q,58,12
001519c8,66,118104,118235,131,Input,Space,Space, ,59,12
001519c8,67,129083,129595,512,Remove/Cut,Backspace,Backspace, ,58,12
001519c8,68,129595,129630,35,Remove/Cut,Backspace,Backspace,q,57,12
001519c8,69,129630,129636,6,Remove/Cut,Backspace,Backspace,q,56,12
001519c8,70,151873,151972,99,Remove/Cut,Backspace,Backspace,q,55,12
001519c8,71,152028,152126,98,Remove/Cut,Backspace,Backspace,q,54,12
001519c8,72,152197,152283,86,Remove/Cut,Backspace,Backspace,q,53,11
001519c8,73,152342,152444,102,Remove/Cut,Backspace,Backspace, ,52,11
001519c8,74,152762,152836,74,Remove/Cut,Backspace,Backspace,q,51,11
001519c8,75,152911,153006,95,Remove/Cut,Backspace,Backspace,q,50,10
001519c8,76,156689,156861,172,Input,q,q,q,51,11
001519c8,77,156776,156941,165,Input,q,q,q,52,11
001519c8,78,156851,157007,156,Input,Space,Space, ,53,11
001519c8,79,157139,157347,208,Input,q,q,q,54,12
001519c8,80,157216,157417,201,Input,q,q,q,55,12
001519c8,81,157285,157449,164,Input,q,q,q,56,12
001519c8,82,158017,158090,73,Remove/Cut,Backspace,Backspace,q,55,12
001519c8,83,158163,158256,93,Remove/Cut,Backspace,Backspace,q,54,12
001519c8,84,158327,158431,104,Remove/Cut,Backspace,Backspace,q,53,11
001519c8,85,158722,158896,174,Input,q,q,q,54,12
001519c8,86,158769,158924,155,Input,q,q,q,55,12
001519c8,87,158847,158974,127,Input,q,q,q,56,12
001519c8,88,158988,159149,161,Input,q,q,q,57,12
001519c8,89,159115,159232,117,Input,q,q,q,58,12
001519c8,90,159240,159332,92,Input,q,q,q,59,12
001519c8,91,159776,159839,63,Remove/Cut,Backspace,Backspace,q,58,12
001519c8,92,159900,160002,102,Remove/Cut,Backspace,Backspace,q,57,12
001519c8,93,160131,160273,142,Input,q,q,q,58,12
001519c8,94,160218,160305,87,Input,q,q,q,59,12
001519c8,95,160276,160440,164,Input,q,q,q,60,12
001519c8,96,160381,160492,111,Input,q,q,q,61,12
001519c8,97,160433,160550,117,Input,q,q,q,62,12
001519c8,98,160531,160670,139,Input,Space,Space, ,63,12
001519c8,99,161132,161259,127,Input,q,q,q,64,13
001519c8,100,161297,161419,122,Input,q,q,q,65,13
001519c8,101,161349,161463,114,Input,q,q,q,66,13
001519c8,102,161457,161597,140,Input,q,q,q,67,13
001519c8,103,161521,161672,151,Input,q,q,q,68,13
001519c8,104,161610,161738,128,Input,Space,Space, ,69,13
001519c8,105,161750,161886,136,Input,q,q,q,70,14
001519c8,106,161822,161942,120,Input,q,q,q,71,14
001519c8,107,161877,162058,181,Input,q,q,q,72,14
001519c8,108,162000,162139,139,Input,q,q,q,73,14
001519c8,109,162079,162190,111,Input,Space,Space, ,74,14
001519c8,110,162300,162448,148,Input,q,q,q,75,15
001519c8,111,162764,162882,118,Input,q,q,q,76,15
001519c8,112,162885,162952,67,Input,q,q,q,77,15
001519c8,113,163207,163273,66,Remove/Cut,Backspace,Backspace,q,76,15
001519c8,114,163312,163398,86,Remove/Cut,Backspace,Backspace,q,75,15
001519c8,115,163497,163595,98,Input,q,q,q,76,15
001519c8,116,163580,163759,179,Input,q,q,q,77,15
001519c8,117,163714,163879,165,Input,q,q,q,78,15
001519c8,118,163769,163812,43,Input,q,q,q,79,15
001519c8,119,164361,164442,81,Remove/Cut,Backspace,Backspace,q,78,15
001519c8,120,164504,164584,80,Remove/Cut,Backspace,Backspace,q,77,15
001519c8,121,164725,164804,79,Input,q,q,q,78,15
001519c8,122,164818,164941,123,Input,q,q,q,79,15
001519c8,123,164893,165028,135,Input,Space,Space, ,80,15
001519c8,124,165112,165216,104,Input,q,q,q,81,16
001519c8,125,165549,165625,76,Remove/Cut,Backspace,Backspace,q,80,15
001519c8,126,165763,165881,118,Input,q,q,q,81,16
001519c8,127,165838,165998,160,Input,q,q,q,82,16
001519c8,128,165958,166053,95,Input,q,q,q,83,16
001519c8,129,166105,166202,97,Input,q,q,q,84,16
001519c8,130,166496,166597,101,Input,q,q,q,85,16
001519c8,131,166648,166766,118,Input,q,q,q,86,16
001519c8,132,166761,166872,111,Input,q,q,q,87,16
001519c8,133,166924,167015,91,Input,q,q,q,88,16
001519c8,134,167059,167208,149,Input,q,q,q,89,16
001519c8,135,167211,167346,135,Input,Space,Space, ,90,16
001519c8,136,167394,167549,155,Input,q,q,q,91,17
001519c8,137,167464,167638,174,Input,q,q,q,92,17
001519c8,138,167559,167688,129,Input,Space,Space, ,93,17
001519c8,139,168505,168589,84,Remove/Cut,Backspace,Backspace, ,92,17
001519c8,140,168644,168734,90,Remove/Cut,Backspace,Backspace,q,91,17
001519c8,141,168791,168895,104,Remove/Cut,Backspace,Backspace,q,90,16
001519c8,142,169726,169864,138,Input,q,q,q,91,17
001519c8,143,169821,169914,93,Input,q,q,q,92,17
001519c8,144,169938,170066,128,Input,q,q,q,93,17
001519c8,145,169998,170160,162,Input,q,q,q,94,17
001519c8,146,170059,170172,113,Input,q,q,q,95,17
001519c8,147,170205,170355,150,Input,q,q,q,96,17
001519c8,148,170554,170677,123,Input,q,q,q,97,17
001519c8,149,170615,170729,114,Input,q,q,q,98,17
001519c8,150,170758,170884,126,Input,q,q,q,99,17
001519c8,151,170892,171031,139,Input,Space,Space, ,100,17
001519c8,152,171114,171198,84,Input,q,q,q,101,18
001519c8,153,171232,171326,94,Input,q,q,q,102,18
001519c8,154,171321,171419,98,Input,q,q,q,103,18
001519c8,155,171977,172056,79,Remove/Cut,Backspace,Backspace,q,102,18
001519c8,156,172065,172184,119,Input,q,q,q,103,18
001519c8,157,172215,172324,109,Input,q,q,q,104,18
001519c8,158,172362,172451,89,Input,.,.,.,105,18
001519c8,159,172585,172828,243,Input,Space,Space, ,106,18
001519c8,160,173051,173169,118,Input,Space,Space, ,107,18
001519c8,161,178254,178335,81,Nonproduction,Leftclick,Leftclick,NoChange,14,18
001519c8,162,179436,179546,110,Remove/Cut,Backspace,Backspace,q,13,18
001519c8,163,180840,180857,17,Nonproduction,Leftclick,Leftclick,NoChange,106,18
001519c8,164,180931,180943,12,Nonproduction,Leftclick,Leftclick,NoChange,106,18
001519c8,165,181772,181772,0,Nonproduction,Leftclick,Leftclick,NoChange,106,18
001519c8,166,182880,182887,7,Nonproduction,Leftclick,Leftclick,NoChange,106,18
001519c8,167,182904,182981,77,Nonproduction,Leftclick,Leftclick,NoChange,106,18
001519c8,168,183641,183722,81,Nonproduction,Leftclick,Leftclick,NoChange,20,18
001519c8,169,184239,184326,87,Nonproduction,Leftclick,Leftclick,NoChange,106,18
001519c8,170,191743,191743,0,Nonproduction,Shift,Shift,NoChange,106,18
001519c8,171,191892,191994,102,Input,q,q,q,107,19
001519c8,172,192131,192253,122,Input,q,q,q,108,19
001519c8,173,192350,192471,121,Input,q,q,q,109,19
001519c8,174,193172,193312,140,Input,q,q,q,110,19
001519c8,175,193459,193664,205,Input,q,q,q,111,19
001519c8,176,193589,193744,155,Input,Space,Space, ,112,19
001519c8,177,202705,202892,187,Input,q,q,q,113,20
001519c8,178,203354,203440,86,Remove/Cut,Backspace,Backspace,q,112,19
001519c8,179,203498,203595,97,Remove/Cut,Backspace,Backspace, ,111,19
001519c8,180,203641,203738,97,Remove/Cut,Backspace,Backspace,q,110,19
001519c8,181,203806,203900,94,Remove/Cut,Backspace,Backspace,q,109,19
001519c8,182,203967,204071,104,Remove/Cut,Backspace,Backspace,q,108,19
001519c8,183,204194,204318,124,Remove/Cut,Backspace,Backspace,q,107,19
001519c8,184,204603,204710,107,Remove/Cut,Backspace,Backspace,q,106,18
001519c8,185,204937,204937,0,Nonproduction,Shift,Shift,NoChange,106,18
001519c8,186,205036,205198,162,Input,q,q,q,107,19
001519c8,187,205241,205382,141,Input,q,q,q,108,19
001519c8,188,205375,205502,127,Input,Space,Space, ,109,19
001519c8,189,205704,205817,113,Input,q,q,q,110,20
001519c8,190,206271,206393,122,Input,q,q,q,111,20
001519c8,191,206463,206581,118,Input,q,q,q,112,20
001519c8,192,206622,206771,149,Input,q,q,q,113,20
001519c8,193,206715,206878,163,Input,q,q,q,114,20
001519c8,194,206798,206938,140,Input,Space,Space, ,115,20
001519c8,195,215317,215403,86,Input,q,q,q,116,21
001519c8,196,215842,215921,79,Remove/Cut,Backspace,Backspace,q,115,20
001519c8,197,215907,216010,103,Input,q,q,q,116,21
001519c8,198,216090,216230,140,Input,q,q,q,117,21
001519c8,199,216355,216492,137,Input,q,q,q,118,21
001519c8,200,216572,216683,111,Input,q,q,q,119,21
001519c8,201,216704,216809,105,Input,q,q,q,120,21
001519c8,202,217529,217647,118,Input,q,q,q,121,21
001519c8,203,217660,217706,46,Input,q,q,q,122,21
001519c8,204,217670,217801,131,Input,q,q,q,123,21
001519c8,205,218068,218155,87,Input,Space,Space, ,124,21
001519c8,206,218460,218525,65,Remove/Cut,Backspace,Backspace, ,123,21
001519c8,207,218587,218694,107,Remove/Cut,Backspace,Backspace,q,122,21
001519c8,208,218788,218899,111,Remove/Cut,Backspace,Backspace,q,121,21
001519c8,209,219067,219151,84,Input,q,q,q,122,21
001519c8,210,219207,219311,104,Input,q,q,q,123,21
001519c8,211,219271,219435,164,Input,Space,Space, ,124,21
001519c8,212,220139,220211,72,Remove/Cut,Backspace,Backspace, ,123,21
001519c8,213,220272,220379,107,Remove/Cut,Backspace,Backspace,q,122,21
001519c8,214,223834,223919,85,Remove/Cut,Backspace,Backspace,q,121,21
001519c8,215,223985,224064,79,Remove/Cut,Backspace,Backspace,q,120,21
001519c8,216,224130,224221,91,Remove/Cut,Backspace,Backspace,q,119,21
001519c8,217,224290,224379,89,Remove/Cut,Backspace,Backspace,q,118,21
001519c8,218,224442,224539,97,Remove/Cut,Backspace,Backspace,q,117,21
001519c8,219,224598,224693,95,Remove/Cut,Backspace,Backspace,q,116,21
001519c8,220,224755,224850,95,Remove/Cut,Backspace,Backspace,q,115,20
001519c8,221,224916,225003,87,Remove/Cut,Backspace,Backspace, ,114,20
001519c8,222,225068,225160,92,Remove/Cut,Backspace,Backspace,q,113,20
001519c8,223,225218,225319,101,Remove/Cut,Backspace,Backspace,q,112,20
001519c8,224,225381,225465,84,Remove/Cut,Backspace,Backspace,q,111,20
001519c8,225,225532,225629,97,Remove/Cut,Backspace,Backspace,q,110,20
001519c8,226,225784,225894,110,Remove/Cut,Backspace,Backspace,q,109,19
001519c8,227,226556,226678,122,Input,q,q,q,110,20
001519c8,228,226706,226901,195,Input,q,q,q,111,20
001519c8,229,227081,227227,146,Input,q,q,q,112,20
001519c8,230,227287,227405,118,Input,q,q,q,113,20
001519c8,231,227387,227509,122,Input,Space,Space, ,114,20
001519c8,232,228105,228170,65,Remove/Cut,Backspace,Backspace, ,113,20
001519c8,233,228241,228325,84,Remove/Cut,Backspace,Backspace,q,112,20
001519c8,234,228391,228488,97,Remove/Cut,Backspace,Backspace,q,111,20
001519c8,235,228544,228643,99,Remove/Cut,Backspace,Backspace,q,110,20
001519c8,236,228706,228794,88,Remove/Cut,Backspace,Backspace,q,109,19
001519c8,237,240755,240857,102,Nonproduction,Leftclick,Leftclick,NoChange,79,19
001519c8,238,241882,242027,145,Input,q,q,q,80,19
001519c8,239,242033,242201,168,Input,q,q,q,81,19
001519c8,240,242125,242252,127,Input,q,q,q,82,19
001519c8,241,242320,242419,99,Input,Space,Space, ,83,20
001519c8,242,243942,244035,93,Nonproduction,Leftclick,Leftclick,NoChange,113,20
001519c8,243,247926,248103,177,Input,q,q,q,114,21
001519c8,244,248744,248827,83,Remove/Cut,Backspace,Backspace,q,113,20
001519c8,245,250730,250829,99,Remove/Cut,Backspace,Backspace, ,112,20
001519c8,246,250891,251012,121,Remove/Cut,Backspace,Backspace,q,111,20
001519c8,247,251260,251368,108,Remove/Cut,Backspace,Backspace,q,110,19
001519c8,248,263203,263203,0,Nonproduction,Shift,Shift,NoChange,110,19
001519c8,249,263378,263378,0,Nonproduction,Shift,Shift,NoChange,110,19
001519c8,250,266930,266930,0,Nonproduction,Shift,Shift,NoChange,110,19
001519c8,251,267019,267162,143,Input,q,q,q,111,20
001519c8,252,267211,267317,106,Input,q,q,q,112,20
001519c8,253,267345,267522,177,Input,q,q,q,113,20
001519c8,254,267465,267591,126,Input,q,q,q,114,20
001519c8,255,267623,267767,144,Input,q,q,q,115,20
001519c8,256,268140,268221,81,Remove/Cut,Backspace,Backspace,q,114,20
001519c8,257,268271,268371,100,Remove/Cut,Backspace,Backspace,q,113,20
001519c8,258,268429,268516,87,Remove/Cut,Backspace,Backspace,q,112,20
001519c8,259,268584,268673,89,Remove/Cut,Backspace,Backspace,q,111,20
001519c8,260,268729,268827,98,Remove/Cut,Backspace,Backspace,q,110,19
001519c8,261,268998,268998,0,Nonproduction,Shift,Shift,NoChange,110,19
001519c8,262,269077,269234,157,Input,q,q,q,111,20
001519c8,263,269309,269450,141,Input,q,q,q,112,20
001519c8,264,269444,269574,130,Input,q,q,q,113,20
001519c8,265,269556,269723,167,Input,q,q,q,114,20
001519c8,266,269638,269774,136,Input,q,q,q,115,20
001519c8,267,269817,269956,139,Input,q,q,q,116,20
001519c8,268,269968,270072,104,Input,Space,Space, ,117,20
001519c8,269,270212,270358,146,Input,q,q,q,118,21
001519c8,270,270300,270423,123,Input,q,q,q,119,21
001519c8,271,270440,270590,150,Input,q,q,q,120,21
001519c8,272,270549,270694,145,Input,Space,Space, ,121,21
001519c8,273,270774,270922,148,Input,q,q,q,122,22
001519c8,274,270853,270946,93,Input,q,q,q,123,22
001519c8,275,270999,271157,158,Input,q,q,q,124,22
001519c8,276,271032,271107,75,Input,q,q,q,125,22
001519c8,277,271614,271728,114,Input,q,q,q,126,22
001519c8,278,271761,271888,127,Input,Space,Space, ,127,22
001519c8,279,272104,272313,209,Input,q,q,q,128,23
001519c8,280,272244,272401,157,Input,q,q,q,129,23
001519c8,281,272374,272510,136,Input,q,q,q,130,23
001519c8,282,272515,272637,122,Input,Space,Space, ,131,23
001519c8,283,278348,278475,127,Input,q,q,q,132,24
001519c8,284,278455,278597,142,Input,q,q,q,133,24
001519c8,285,278739,278876,137,Input,q,q,q,134,24
001519c8,286,279201,279341,140,Input,q,q,q,135,24
001519c8,287,279289,279488,199,Input,q,q,q,136,24
001519c8,288,279397,279535,138,Input,Space,Space, ,137,24
001519c8,289,279594,279662,68,Input,q,q,q,138,25
001519c8,290,279909,279997,88,Remove/Cut,Backspace,Backspace,q,137,24
001519c8,291,279969,280105,136,Input,q,q,q,138,25
001519c8,292,280102,280255,153,Input,q,q,q,139,25
001519c8,293,280529,280652,123,Input,q,q,q,140,25
001519c8,294,280660,280791,131,Input,q,q,q,141,25
001519c8,295,280864,281004,140,Input,q,q,q,142,25
001519c8,296,281500,281599,99,Input,q,q,q,143,25
001519c8,297,281633,281747,114,Input,q,q,q,144,25
001519c8,298,281743,281869,126,Input,q,q,q,145,25
001519c8,299,281865,281989,124,Input,q,q,q,146,25
001519c8,300,281975,282059,84,Input,q,q,q,147,25
001519c8,301,282140,282272,132,Input,q,q,q,148,25
001519c8,302,282234,282365,131,Input,Space,Space, ,149,25
001519c8,303,283247,283386,139,Input,q,q,q,150,26
001519c8,304,283395,283576,181,Input,q,q,q,151,26
001519c8,305,283492,283649,157,Input,q,q,q,152,26
001519c8,306,286415,286508,93,Remove/Cut,Backspace,Backspace,q,151,26
001519c8,307,286588,286679,91,Remove/Cut,Backspace,Backspace,q,150,26
001519c8,308,286763,286855,92,Remove/Cut,Backspace,Backspace,q,149,25
001519c8,309,289557,289701,144,Input,q,q,q,150,26
001519c8,310,289741,289948,207,Input,q,q,q,151,26
001519c8,311,289859,290022,163,Input,q,q,q,152,26
001519c8,312,290060,290181,121,Input,q,q,q,153,26
001519c8,313,290267,290412,145,Input,q,q,q,154,26
001519c8,314,290361,290518,157,Input,Space,Space, ,155,26
001519c8,315,290538,290692,154,Input,q,q,q,156,27
001519c8,316,290626,290774,148,Input,q,q,q,157,27
001519c8,317,290687,290827,140,Input,Space,Space, ,158,27
001519c8,318,292612,292700,88,Remove/Cut,Backspace,Backspace, ,157,27
001519c8,319,292751,292857,106,Remove/Cut,Backspace,Backspace,q,156,27
001519c8,320,292906,292999,93,Remove/Cut,Backspace,Backspace,q,155,26
001519c8,321,293069,293155,86,Remove/Cut,Backspace,Backspace, ,154,26
001519c8,322,293221,293321,100,Remove/Cut,Backspace,Backspace,q,153,26
001519c8,323,293389,293508,119,Remove/Cut,Backspace,Backspace,q,152,26
001519c8,324,293561,293667,106,Remove/Cut,Backspace,Backspace,q,151,26
001519c8,325,293717,293827,110,Remove/Cut,Backspace,Backspace,q,150,26
001519c8,326,294095,294197,102,Remove/Cut,Backspace,Backspace,q,149,25
001519c8,327,294433,294639,206,Input,q,q,q,150,26
001519c8,328,294519,294690,171,Input,q,q,q,151,26
001519c8,329,294621,294774,153,Input,Space,Space, ,152,26
001519c8,330,295328,295430,102,Input,q,q,q,153,27
001519c8,331,295408,295571,163,Input,q,q,q,154,27
001519c8,332,295802,295866,64,Remove/Cut,Backspace,Backspace,q,153,27
001519c8,333,295936,296019,83,Remove/Cut,Backspace,Backspace,q,152,26
001519c8,334,296182,296316,134,Input,q,q,q,153,27
001519c8,335,296246,296381,135,Input,q,q,q,154,27
001519c8,336,296884,296956,72,Remove/Cut,Backspace,Backspace,q,153,27
001519c8,337,297022,297122,100,Remove/Cut,Backspace,Backspace,q,152,26
001519c8,338,297187,297275,88,Remove/Cut,Backspace,Backspace, ,151,26
001519c8,339,297780,297876,96,Remove/Cut,Backspace,Backspace,q,150,26
001519c8,340,297957,298066,109,Remove/Cut,Backspace,Backspace,q,149,25
001519c8,341,302959,303116,157,Input,q,q,q,150,26
001519c8,342,303168,303333,165,Input,q,q,q,151,26
001519c8,343,303265,303416,151,Input,q,q,q,152,26
001519c8,344,303535,303643,108,Input,q,q,q,153,26
001519c8,345,303718,303872,154,Input,q,q,q,154,26
001519c8,346,303811,303972,161,Input,Space,Space, ,155,26
001519c8,347,304059,304210,151,Input,q,q,q,156,27
001519c8,348,304137,304288,151,Input,q,q,q,157,27
001519c8,349,305590,305703,113,Input,.,.,.,158,27
001519c8,350,305833,305930,97,Input,Space,Space, ,159,27
001519c8,351,305996,306144,148,Input,Space,Space, ,160,27
001519c8,352,312325,312442,117,Remove/Cut,Backspace,Backspace, ,159,27
001519c8,353,312518,312609,91,Remove/Cut,Backspace,Backspace, ,158,27
001519c8,354,312882,312995,113,Remove/Cut,Backspace,Backspace,.,157,27
001519c8,355,315524,315721,197,Input,",",",",",",158,27
001519c8,356,315673,315792,119,Input,Space,Space, ,159,27
001519c8,357,316808,316886,78,Remove/Cut,Backspace,Backspace, ,158,27
001519c8,358,316969,317050,81,Remove/Cut,Backspace,Backspace,",",157,27
001519c8,359,319001,319124,123,Input,.,.,.,158,27
001519c8,360,319220,319339,119,Input,Space,Space, ,159,27
001519c8,361,319393,319510,117,Input,Space,Space, ,160,27
001519c8,362,352268,352334,66,Nonproduction,Leftclick,Leftclick,NoChange,0,27
001519c8,363,357363,357363,0,Nonproduction,Shift,Shift,NoChange,0,27
001519c8,364,357533,357638,105,Input,q,q,q,1,27
001519c8,365,357846,358019,173,Input,q,q,q,2,27
001519c8,366,357952,358127,175,Input,q,q,q,3,27
001519c8,367,358516,358639,123,Input,q,q,q,4,27
001519c8,368,360420,360555,135,Input,q,q,q,5,27
001519c8,369,360662,360766,104,Input,q,q,q,6,27
001519c8,370,360825,360938,113,Input,q,q,q,7,27
001519c8,371,361063,361134,71,Input,q,q,q,8,27
001519c8,372,361201,361320,119,Input,q,q,q,9,27
001519c8,373,361351,361493,142,Input,Space,Space, ,10,28
001519c8,374,376291,376376,85,Input,q,q,q,11,28
001519c8,375,376359,376495,136,Input,q,q,q,12,28
001519c8,376,376480,376625,145,Input,Space,Space, ,13,29
001519c8,377,377837,378022,185,Input,q,q,q,14,29
001519c8,378,377940,378078,138,Input,q,q,q,15,29
001519c8,379,378015,378088,73,Input,q,q,q,16,29
001519c8,380,378216,378339,123,Input,q,q,q,17,29
001519c8,381,379281,379430,149,Input,q,q,q,18,29
001519c8,382,379609,379748,139,Input,Space,Space, ,19,30
001519c8,383,379812,379977,165,Input,q,q,q,20,30
001519c8,384,379886,380028,142,Input,q,q,q,21,30
001519c8,385,379955,380099,144,Input,Space,Space, ,22,31
001519c8,386,387131,387253,122,Input,q,q,q,23,31
001519c8,387,387278,387422,144,Input,q,q,q,24,31
001519c8,388,387366,387477,111,Input,q,q,q,25,31
001519c8,389,387630,387775,145,Input,q,q,q,26,31
001519c8,390,387703,387836,133,Input,Space,Space, ,27,32
001519c8,391,388103,388217,114,Input,q,q,q,28,32
001519c8,392,388304,388515,211,Input,q,q,q,29,32
001519c8,393,388530,388611,81,Input,q,q,q,30,32
001519c8,394,388646,388794,148,Input,q,q,q,31,32
001519c8,395,389063,389177,114,Input,.,.,.,32,32
001519c8,396,389278,389358,80,Input,Space,Space, ,33,33
001519c8,397,389431,389531,100,Input,Space,Space, ,34,33
001519c8,398,392864,392944,80,Nonproduction,Leftclick,Leftclick,NoChange,194,33
001519c8,399,399300,399378,78,Remove/Cut,Backspace,Backspace, ,193,33
001519c8,400,399458,399545,87,Remove/Cut,Backspace,Backspace, ,192,33
001519c8,401,399764,399884,120,Remove/Cut,Backspace,Backspace,.,191,33
001519c8,402,401519,401683,164,Input,",",",",",",192,33
001519c8,403,401617,401734,117,Input,Space,Space, ,193,33
001519c8,404,401723,401869,146,Input,q,q,q,194,34
001519c8,405,401791,401906,115,Input,q,q,q,195,34
001519c8,406,401919,402084,165,Input,q,q,q,196,34
001519c8,407,402035,402168,133,Input,Space,Space, ,197,34
001519c8,408,408902,409079,177,Input,q,q,q,198,35
001519c8,409,409088,409240,152,Input,q,q,q,199,35
001519c8,410,409552,409632,80,Remove/Cut,Backspace,Backspace,q,198,35
001519c8,411,409699,409791,92,Remove/Cut,Backspace,Backspace,q,197,34
001519c8,412,411411,411537,126,Input,q,q,q,198,35
001519c8,413,411525,411648,123,Input,q,q,q,199,35
001519c8,414,411715,411843,128,Input,q,q,q,200,35
001519c8,415,411941,412084,143,Input,q,q,q,201,35
001519c8,416,412057,412251,194,Input,q,q,q,202,35
001519c8,417,412164,412315,151,Input,Space,Space, ,203,35
001519c8,418,412621,412770,149,Input,q,q,q,204,36
001519c8,419,412716,412826,110,Input,q,q,q,205,36
001519c8,420,412799,412962,163,Input,q,q,q,206,36
001519c8,421,412899,413006,107,Input,q,q,q,207,36
001519c8,422,413001,413111,110,Input,q,q,q,208,36
001519c8,423,413151,413264,113,Input,q,q,q,209,36
001519c8,424,413459,413606,147,Input,Space,Space, ,210,36
001519c8,425,417288,417450,162,Input,q,q,q,211,37
001519c8,426,417366,417553,187,Input,q,q,q,212,37
001519c8,427,417569,417666,97,Input,Space,Space, ,213,37
001519c8,428,417781,417945,164,Input,q,q,q,214,38
001519c8,429,417938,418091,153,Input,q,q,q,215,38
001519c8,430,418135,418234,99,Input,Space,Space, ,216,38
001519c8,431,419996,420123,127,Input,q,q,q,217,39
001519c8,432,420220,420344,124,Input,q,q,q,218,39
001519c8,433,420512,420715,203,Input,q,q,q,219,39
001519c8,434,420707,420887,180,Input,q,q,q,220,39
001519c8,435,421356,421439,83,Remove/Cut,Backspace,Backspace,q,219,39
001519c8,436,421510,421605,95,Remove/Cut,Backspace,Backspace,q,218,39
001519c8,437,421674,421755,81,Remove/Cut,Backspace,Backspace,q,217,39
001519c8,438,421837,421919,82,Remove/Cut,Backspace,Backspace,q,216,38
001519c8,439,422088,422226,138,Input,q,q,q,217,39
001519c8,440,422217,422356,139,Input,q,q,q,218,39
001519c8,441,422321,422494,173,Input,q,q,q,219,39
001519c8,442,422422,422569,147,Input,q,q,q,220,39
